Maximum at t = 0.75, mx = 0.80
Maximum at t = 1.92, mx = 0.95
Maximum at t = 3.04, mx = 0.87
Maximum at t = 4.27, mx = 0.58
Maximum at t = 5.49, mx = 0.24
Maximum at t = 6.72, mx = -0.04
Maximum at t = 8.00, mx = -0.34
Maximum at t = 8.80, mx = -0.77
Maximum at t = 9.33, mx = -0.69
Maximum at t = 10.08, mx = -0.98
Maximum at t = 10.67, mx = -0.83
Maximum at t = 11.31, mx = -0.97
Maximum at t = 12.05, mx = -0.68
Maximum at t = 12.53, mx = -0.77
Maximum at t = 13.33, mx = -0.35
Maximum at t = 14.61, mx = -0.08
Maximum at t = 15.89, mx = 0.15
Maximum at t = 17.12, mx = 0.44
Maximum at t = 18.35, mx = 0.76
Maximum at t = 19.52, mx = 0.95
Maximum at t = 20.69, mx = 0.94
Maximum at t = 21.87, mx = 0.74
Maximum at t = 23.09, mx = 0.43
Maximum at t = 24.32, mx = 0.17
Maximum at t = 25.55, mx = -0.02
Maximum at t = 26.83, mx = -0.21
Maximum at t = 27.63, mx = -0.53
Maximum at t = 28.11, mx = -0.49
Maximum at t = 28.91, mx = -0.84
Maximum at t = 29.44, mx = -0.77
Maximum at t = 30.19, mx = -0.98
Maximum at t = 30.78, mx = -0.86
Maximum at t = 31.42, mx = -0.96
Maximum at t = 32.16, mx = -0.72
Maximum at t = 32.64, mx = -0.78
Maximum at t = 33.44, mx = -0.43
Maximum at t = 33.92, mx = -0.47
Maximum at t = 34.72, mx = -0.19
Maximum at t = 36.00, mx = -0.06
Maximum at t = 37.28, mx = 0.04
Maximum at t = 38.51, mx = 0.16
Maximum at t = 39.79, mx = 0.36
Maximum at t = 40.96, mx = 0.66
Maximum at t = 42.19, mx = 0.89
Maximum at t = 43.36, mx = 0.98
Maximum at t = 44.54, mx = 0.91
Maximum at t = 45.71, mx = 0.69
Maximum at t = 46.94, mx = 0.41
Maximum at t = 48.22, mx = 0.22
Maximum at t = 49.87, mx = 0.16
Maximum at t = 50.56, mx = 0.14
Maximum at t = 51.26, mx = 0.25
Maximum at t = 51.74, mx = 0.24
Maximum at t = 52.59, mx = 0.47
Maximum at t = 52.96, mx = 0.46
Maximum at t = 53.87, mx = 0.76
Maximum at t = 54.24, mx = 0.76
Maximum at t = 55.10, mx = 0.95
Maximum at t = 55.52, mx = 0.95
Maximum at t = 56.32, mx = 1.00
Maximum at t = 56.75, mx = 1.00
Maximum at t = 57.60, mx = 0.93
Maximum at t = 57.98, mx = 0.94
Maximum at t = 58.88, mx = 0.73
Maximum at t = 59.26, mx = 0.73
Maximum at t = 60.11, mx = 0.45
Maximum at t = 60.54, mx = 0.46
